,freq,word
1002,1,?man
1003,1,(person)
1004,4,year?
1005,174,agree
1006,456,interview
1007,37,photo
1008,2,shoot.
1009,5,pass.
1010,5,anyway!
1011,55,calling
1012,31,egypt
1013,40,short
1014,43,discuss
1015,7,tragic
1016,50,terrorist
1017,148,attack
1018,29,loss
1019,50,life.
1020,20,tougher
1021,27,smarter
1022,32,will.
1023,2,ban!
1024,115,god
1025,52,bless
1026,9,egypt.
1027,1,cowardly
1028,25,innocent
1029,1,defenseless
1030,1,worshipers
1031,114,cannot
1032,3,tolerate
1033,52,defeat
1034,2,militarily
1035,2,discredit
1036,2,extremist
1037,1,ideology
1038,3,forms
1039,6,basis
1040,1,existence!
1041,8,turkey
1042,75,heading
1043,431,golf
1044,135,club
1045,8,jupiter
1046,125,play
1047,1,(quickly)
1048,21,tiger
1049,9,woods
1050,2,dustin
1051,2,johnson.
1052,295,then
1053,40,mar-a-lago
1054,44,talks
1055,49,bringing
1056,52,companies
1057,24,usa!
1058,107,speaking
1059,2,recep
1060,2,tayyip
1061,1,erdogan
1062,174,morning
1063,16,peace
1064,66,mess
1065,6,inherited
1066,9,east.
1067,52,mistake
1068,63,lives
1069,1,(6
1070,1,trillion)
1071,36,place!
1072,12,anthem
1073,71,continues
1074,185,without
1075,15,penalty
1076,5,players.
1077,11,commissioner
1078,158,lost
1079,88,control
1080,1,hemorrhaging
1081,9,league.
1082,4,boss!
1083,1,https://t.co/udxp5mr8bc
1084,243,two
1085,94,people!
1086,1,https://t.co/5cvnmhnmuh
1087,145,guy
1088,8,(with
1089,2,ratings)!
1090,1,https://t.co/s0s6xqrjsc
1091,2,@deptofdefense:
1092,1,#happythanksgiving
1093,1,@usarmy
1094,2,@usnationalguard
1095,1,#soldiers
1096,7,serving
1097,9,task
1098,64,force
1099,1,marauder
1100,1,#afghanistan.
1101,1,?
1102,3,https?
1103,18,@scavino45:
1104,7959,@realdonaldtrump
1105,25,@flotus
1106,3,@uscg
1107,21,lake
1108,78,worth
1109,2,inlet
1110,5,station
1111,2,riviera
1112,68,beach
1113,1,florid?
1114,343,obamacare
1115,39,premiums
1116,8,predicting
1117,92,years.
1118,19,owned
1119,60,disaster.
1120,5,worry.
1121,41,though
1122,3,obstruct
1123,70,repeal
1124,42,replace
1125,395,right
1126,3,cuts!
1127,77,men
1128,1,today!#happythanksgiving
1129,1,https://t.co/c35hr9opbp
1130,4,thanksgiving!
1131,1,https://t.co/nqhi7xopmw
1132,261,live
1133,20,thanksgiving
1134,77,video
1135,1,teleconference
1136,35,members
1137,26,9:00
1138,115,a.m.
1139,25,afghanistan
1140,129,iraq
1141,6,uss
1142,1,monterey
1143,1,bahrain.
1144,27,coast
1145,11,guard
1146,2,quarters
1147,29,florida.
1148,1,@theplumlinegs
1149,69,starting
1150,45,well.
1151,8,v.a.
1152,32,supreme
1153,48,court
1154,51,justice
1155,1,regs
1156,24,lowest
1157,1,years....!
1158,4,....and
1159,1,https://t.co/75wozgjqop
1160,229,long
1161,5,argentina
1162,6,search
1163,12,rescue
1164,15,mission
1165,17,missing
1166,1,submarine.
1167,6,45
1168,6,aboard
1169,8,left.
1170,171,may
1171,1,argentina!
1172,12,51
1173,208,million
1174,43,travel
1175,62,number
1176,3,twelve
1177,1,(aaa).
1178,7,traffic
1179,14,airports
1180,212,running
1181,1,smoothly!
1182,2,preparations
1183,5,underway
1184,35,celebrate
1185,5,holidays
1186,1,https://t.co/n5qz1np8ez
1187,5,@usnavy
1188,2,conducting
1189,34,following
1190,8,aircraft
1191,1,crash.
1192,8,monitoring
1193,15,situation.
1194,47,prayers
1195,2,involved.
1196,1,https://t.co/1axmegkqvu
1197,32,meetings
1198,9,phones
1199,14,winter
1200,199,white
1201,2,(mar-a-lago).
1202,134,hit
1203,145,yesterday
1204,2,$5.5
1205,50,trillion
1206,21,gain
1207,7,e.
1208,147,building
1209,12,strong.
1210,3,@ingrahamangle:
1211,1,?far
1212,1,right??
1213,49,mean
1214,1,?right
1215,1,far?
1216,199,far
1217,6,abt
1218,25,kick
1219,1,high?
1220,1,@realjmannarino:
1221,1,ungratefulness
1222,158,something
1223,824,never
1224,2,someone?s
1225,18,prison
1226,2,sho?
1227,14,fan!
1228,1,https://t.co/1lidydhord
1229,94,thinking
1230,47,idea
1231,15,teams
1232,6,locker
1233,386,next
1234,42,season.
1235,40,that?s
1236,95,almost
1237,1,kneeling!
1238,69,paid
1239,169,tough
1240,4,smart?
1241,30,issue
1242,99,killing
1243,1,league!.....
1244,1,...lavar
1245,107,spent
1246,151,5
1247,3,nba
1248,218,remember
1249,3,lavar
1250,3,shoplifting
1251,13,thing.
1252,129,it?s
1253,342,deal
1254,47,especially
1255,37,china.
1256,6,ungrateful
1257,5,fool!
1258,12,department
1259,1,lavar?s
1260,23,so-called
1261,23,ground
1262,404,got
1263,49,term
1264,2,sentence
1265,159,me.
1266,65,poor
1267,2,man?s
1268,10,version
1269,56,don
1270,43,king
1271,4,hair.
1272,1,think..
1273,21,continued
1274,4,tradition
1275,45,house.
1276,1,drumstick
1277,1,wishbone
1278,97,days
1279,83,blue
1280,3,ridge
1281,2,mountains
1282,1,gobbler?s
1283,1,rest...
1284,1,https://t.co/fss8b8f5ur
1285,5,participate
1286,1,pardoning
1287,1,https://t.co/zauqz4jfwv
1288,38,drop
1289,8,below
1290,1,4%.
1291,2,analysts
1292,9,predict
1293,110,economic
1294,6,boom
1295,2,2018!
1296,2,@varneyco
1297,2,marshawn
1298,6,lynch
1299,1,nfl?s
1300,3,oakland
1301,1,raiders
1302,25,stands
1303,47,mexican
1304,6,sits
1305,1,boos
1306,3,disrespect!
1307,6,suspend
1308,1,remainder
1309,6,attendance
1310,57,down.
1311,37,reform
1312,6,approved.
1313,2,disappoint
1314,4,public!
1315,12,patrol
1316,6,officer
1317,87,killed
1318,20,southern
1319,78,badly
1320,5,hurt.
1321,15,seek
1322,9,responsible.
1323,1,big-game
1324,5,trophy
1325,63,decision
1326,66,announced
1327,4,pressed
1328,159,change
1329,81,mind
1330,8,horror
1331,503,show
1332,10,helps
1333,4,conservation
1334,3,elephants
1335,1,animal.
1336,1,(5-10
1337,1,jail)
1338,1,lavar.
1339,29,gotten
1340,42,trip
1341,1,instead.
1342,14,released.
1343,1,ungrateful!
1344,23,sen.
1345,23,jeff
1346,1,flake(y)
1347,2,unelectable
1348,41,arizona
1349,1,(quit
1350,64,race
1351,1,anemic
1352,1,polls)
1353,48,caught
1354,1,(purposely)
1355,1,?mike?
1356,155,saying
1357,8,he?ll
1358,40,career
1359,17,anyway
1360,1,?toast.?
1361,49,three
1362,9,basketball
1363,33,saved
1364,9,jail
1365,17,ball
1366,1,liangelo
1367,1,unaccepting
1368,69,deal.
1369,115,left
1370,4,jail!
1371,7,@greta:
1372,1,https://t.co/zjafzbyqkx
1373,10,@piersmorgan:
1374,1,boom!
1375,200,mr
1376,1,trophy-hunting
1377,1,repellent.
1378,1,https://t.co/iepfeqnx4t
1379,329,clinton
1380,137,worst
1381,77,(and
1382,1,biggest)
1383,47,loser
1384,99,time.
1385,299,stop
1386,133,life
1387,83,try
1388,88,game
1389,154,until
1390,35,review
1391,7,facts.
1392,25,study
1393,6,update
1394,1,zinke.
1395,577,you!
1396,1,collegiate
